probe_type,layer_range,dim_a,dim_b,name_a,name_b,diff,p_value,p_adjusted,ci_lo,ci_hi,sig_raw,sig_fdr
control_probe,all_layers,3,15,3_agency,15_shapes,0.183543,0.000000,0.000000,0.146880,0.219653,***,***
control_probe,all_layers,3,17,3_agency,17_attention,-0.026908,0.194600,0.294790,-0.067976,0.012783,n.s.,n.s.
control_probe,all_layers,3,18,3_agency,18_sysprompt_labeled,-0.021726,0.335400,0.431911,-0.066682,0.020414,n.s.,n.s.
control_probe,all_layers,4,5,4_intentions,5_prediction,0.031726,0.105800,0.168619,-0.006784,0.070908,n.s.,n.s.
control_probe,all_layers,4,6,4_intentions,6_cognitive,0.057214,0.005800,0.012325,0.014147,0.100007,**,*
control_probe,all_layers,4,7,4_intentions,7_social,0.054950,0.019600,0.037485,0.009486,0.101602,*,*
control_probe,all_layers,4,8,4_intentions,8_embodiment,0.053940,0.033000,0.059400,0.004693,0.103202,*,n.s.
control_probe,all_layers,4,9,4_intentions,9_roles,0.028842,0.209800,0.314700,-0.015612,0.073121,n.s.,n.s.
control_probe,all_layers,4,10,4_intentions,10_animacy,0.103831,0.000000,0.000000,0.064246,0.144520,***,***
control_probe,all_layers,4,11,4_intentions,11_formality,0.274249,0.000000,0.000000,0.218244,0.330393,***,***
control_probe,all_layers,4,12,4_intentions,12_expertise,0.050891,0.018000,0.034861,0.007285,0.093960,*,*
control_probe,all_layers,4,13,4_intentions,13_helpfulness,0.194308,0.000000,0.000000,0.143686,0.245753,***,***
control_probe,all_layers,4,14,4_intentions,14_biological,0.043793,0.035000,0.061895,0.003018,0.086501,*,n.s.
control_probe,all_layers,4,15,4_intentions,15_shapes,0.236023,0.000000,0.000000,0.199398,0.272948,***,***
control_probe,all_layers,4,17,4_intentions,17_attention,0.025572,0.224800,0.330715,-0.015421,0.066229,n.s.,n.s.
control_probe,all_layers,4,18,4_intentions,18_sysprompt_labeled,0.030755,0.176600,0.270198,-0.014196,0.073288,n.s.,n.s.
control_probe,all_layers,5,6,5_prediction,6_cognitive,0.025488,0.233000,0.339514,-0.016373,0.067519,n.s.,n.s.
control_probe,all_layers,5,7,5_prediction,7_social,0.023224,0.317400,0.418640,-0.022055,0.069105,n.s.,n.s.
control_probe,all_layers,5,8,5_prediction,8_embodiment,0.022213,0.364800,0.446515,-0.026741,0.071075,n.s.,n.s.
control_probe,all_layers,5,9,5_prediction,9_roles,-0.002885,0.894000,0.947767,-0.046616,0.041201,n.s.,n.s.
control_probe,all_layers,5,10,5_prediction,10_animacy,0.072104,0.000400,0.000987,0.032265,0.112644,***,***
control_probe,all_layers,5,11,5_prediction,11_formality,0.242523,0.000000,0.000000,0.186358,0.298605,***,***
control_probe,all_layers,5,12,5_prediction,12_expertise,0.019164,0.376600,0.457300,-0.024349,0.061253,n.s.,n.s.
control_probe,all_layers,5,13,5_prediction,13_helpfulness,0.162582,0.000000,0.000000,0.111817,0.212882,***,***
control_probe,all_layers,5,14,5_prediction,14_biological,0.012066,0.572400,0.663077,-0.029265,0.054347,n.s.,n.s.
control_probe,all_layers,5,15,5_prediction,15_shapes,0.204297,0.000000,0.000000,0.167964,0.240857,***,***
control_probe,all_layers,5,17,5_prediction,17_attention,-0.006154,0.759800,0.842387,-0.046475,0.034145,n.s.,n.s.
control_probe,all_layers,5,18,5_prediction,18_sysprompt_labeled,-0.000972,0.972800,0.972800,-0.044743,0.041451,n.s.,n.s.
control_probe,all_layers,6,7,6_cognitive,7_social,-0.002264,0.907000,0.947767,-0.051022,0.046823,n.s.,n.s.
control_probe,all_layers,6,8,6_cognitive,8_embodiment,-0.003275,0.902400,0.947767,-0.053711,0.047671,n.s.,n.s.
control_probe,all_layers,6,9,6_cognitive,9_roles,-0.028373,0.238800,0.344683,-0.075522,0.018077,n.s.,n.s.
control_probe,all_layers,6,10,6_cognitive,10_animacy,0.046616,0.035400,0.061895,0.003769,0.088761,*,n.s.
control_probe,all_layers,6,11,6_cognitive,11_formality,0.217035,0.000000,0.000000,0.159180,0.274339,***,***
control_probe,all_layers,6,12,6_cognitive,12_expertise,-0.006324,0.794400,0.874412,-0.051932,0.038646,n.s.,n.s.
control_probe,all_layers,6,13,6_cognitive,13_helpfulness,0.137094,0.000000,0.000000,0.083430,0.190061,***,***
control_probe,all_layers,6,14,6_cognitive,14_biological,-0.013421,0.549600,0.641899,-0.057167,0.031188,n.s.,n.s.
control_probe,all_layers,6,15,6_cognitive,15_shapes,0.178809,0.000000,0.000000,0.139609,0.218176,***,***
control_probe,all_layers,6,17,6_cognitive,17_attention,-0.031642,0.147000,0.229500,-0.074182,0.011679,n.s.,n.s.
control_probe,all_layers,6,18,6_cognitive,18_sysprompt_labeled,-0.026460,0.265000,0.365270,-0.073165,0.019287,n.s.,n.s.
control_probe,all_layers,7,8,7_social,8_embodiment,-0.001011,0.972200,0.972800,-0.054582,0.053071,n.s.,n.s.
control_probe,all_layers,7,9,7_social,9_roles,-0.026109,0.303600,0.403920,-0.077021,0.023503,n.s.,n.s.
control_probe,all_layers,7,10,7_social,10_animacy,0.048880,0.035600,0.061895,0.003035,0.095102,*,n.s.
control_probe,all_layers,7,11,7_social,11_formality,0.219299,0.000000,0.000000,0.158689,0.279724,***,***
control_probe,all_layers,7,12,7_social,12_expertise,-0.004060,0.872400,0.939980,-0.052516,0.044268,n.s.,n.s.
control_probe,all_layers,7,13,7_social,13_helpfulness,0.139358,0.000000,0.000000,0.083215,0.194508,***,***
control_probe,all_layers,7,14,7_social,14_biological,-0.011158,0.648800,0.740794,-0.059183,0.036558,n.s.,n.s.
control_probe,all_layers,7,15,7_social,15_shapes,0.181073,0.000000,0.000000,0.136898,0.224633,***,***
control_probe,all_layers,7,17,7_social,17_attention,-0.029378,0.222400,0.330361,-0.077005,0.017938,n.s.,n.s.
control_probe,all_layers,7,18,7_social,18_sysprompt_labeled,-0.024196,0.342600,0.431911,-0.074710,0.024487,n.s.,n.s.
control_probe,all_layers,8,9,8_embodiment,9_roles,-0.025098,0.340400,0.431911,-0.078022,0.028355,n.s.,n.s.
control_probe,all_layers,8,10,8_embodiment,10_animacy,0.049891,0.040200,0.068680,0.002047,0.099670,*,n.s.
control_probe,all_layers,8,11,8_embodiment,11_formality,0.220310,0.000000,0.000000,0.159528,0.283097,***,***
control_probe,all_layers,8,12,8_embodiment,12_expertise,-0.003049,0.910600,0.947767,-0.052691,0.047554,n.s.,n.s.
control_probe,all_layers,8,13,8_embodiment,13_helpfulness,0.140369,0.000000,0.000000,0.081800,0.198631,***,***
control_probe,all_layers,8,14,8_embodiment,14_biological,-0.010147,0.691000,0.777375,-0.060244,0.040177,n.s.,n.s.
control_probe,all_layers,8,15,8_embodiment,15_shapes,0.182083,0.000000,0.000000,0.135457,0.227955,***,***
control_probe,all_layers,8,17,8_embodiment,17_attention,-0.028367,0.261800,0.364140,-0.078155,0.020969,n.s.,n.s.
control_probe,all_layers,8,18,8_embodiment,18_sysprompt_labeled,-0.023185,0.385600,0.460913,-0.074706,0.027830,n.s.,n.s.
control_probe,all_layers,9,10,9_roles,10_animacy,0.074989,0.000800,0.001855,0.031466,0.119363,***,**
control_probe,all_layers,9,11,9_roles,11_formality,0.245408,0.000000,0.000000,0.185690,0.305312,***,***
control_probe,all_layers,9,12,9_roles,12_expertise,0.022049,0.360000,0.444194,-0.025319,0.068332,n.s.,n.s.
control_probe,all_layers,9,13,9_roles,13_helpfulness,0.165467,0.000000,0.000000,0.110437,0.220279,***,***
control_probe,all_layers,9,14,9_roles,14_biological,0.014951,0.524600,0.617414,-0.030871,0.060090,n.s.,n.s.
control_probe,all_layers,9,15,9_roles,15_shapes,0.207181,0.000000,0.000000,0.166343,0.249129,***,***
control_probe,all_layers,9,17,9_roles,17_attention,-0.003269,0.881400,0.943036,-0.047998,0.042886,n.s.,n.s.
control_probe,all_layers,9,18,9_roles,18_sysprompt_labeled,0.001913,0.932800,0.957842,-0.045443,0.049610,n.s.,n.s.
control_probe,all_layers,10,11,10_animacy,11_formality,0.170419,0.000000,0.000000,0.113886,0.226793,***,***
control_probe,all_layers,10,12,10_animacy,12_expertise,-0.052940,0.013600,0.027023,-0.095477,-0.011447,*,*
control_probe,all_layers,10,13,10_animacy,13_helpfulness,0.090478,0.001000,0.002284,0.039382,0.141258,**,**
control_probe,all_layers,10,14,10_animacy,14_biological,-0.060038,0.004000,0.008620,-0.101281,-0.018971,**,**
control_probe,all_layers,10,15,10_animacy,15_shapes,0.132192,0.000000,0.000000,0.094924,0.168795,***,***
control_probe,all_layers,10,17,10_animacy,17_attention,-0.078258,0.000000,0.000000,-0.118724,-0.037286,***,***
control_probe,all_layers,10,18,10_animacy,18_sysprompt_labeled,-0.073076,0.000600,0.001457,-0.117744,-0.030648,***,**
control_probe,all_layers,11,12,11_formality,12_expertise,-0.223359,0.000000,0.000000,-0.281656,-0.164357,***,***
control_probe,all_layers,11,13,11_formality,13_helpfulness,-0.079941,0.015400,0.030208,-0.144214,-0.015581,*,*
control_probe,all_layers,11,14,11_formality,14_biological,-0.230456,0.000000,0.000000,-0.287770,-0.175411,***,***
control_probe,all_layers,11,15,11_formality,15_shapes,-0.038226,0.161200,0.249127,-0.092251,0.014856,n.s.,n.s.
control_probe,all_layers,11,17,11_formality,17_attention,-0.248677,0.000000,0.000000,-0.306030,-0.191844,***,***
control_probe,all_layers,11,18,11_formality,18_sysprompt_labeled,-0.243495,0.000000,0.000000,-0.302743,-0.184843,***,***
control_probe,all_layers,12,13,12_expertise,13_helpfulness,0.143418,0.000000,0.000000,0.089051,0.196121,***,***
control_probe,all_layers,12,14,12_expertise,14_biological,-0.007098,0.757600,0.842387,-0.051551,0.037783,n.s.,n.s.
control_probe,all_layers,12,15,12_expertise,15_shapes,0.185132,0.000000,0.000000,0.144709,0.224905,***,***
control_probe,all_layers,12,17,12_expertise,17_attention,-0.025318,0.257200,0.361024,-0.069214,0.018896,n.s.,n.s.
control_probe,all_layers,12,18,12_expertise,18_sysprompt_labeled,-0.020136,0.382600,0.460913,-0.067500,0.025610,n.s.,n.s.
control_probe,all_layers,13,14,13_helpfulness,14_biological,-0.150516,0.000000,0.000000,-0.203036,-0.099218,***,***
control_probe,all_layers,13,15,13_helpfulness,15_shapes,0.041715,0.090200,0.145269,-0.006892,0.090148,n.s.,n.s.
control_probe,all_layers,13,17,13_helpfulness,17_attention,-0.168736,0.000000,0.000000,-0.220296,-0.116139,***,***
control_probe,all_layers,13,18,13_helpfulness,18_sysprompt_labeled,-0.163554,0.000000,0.000000,-0.218507,-0.109968,***,***
control_probe,all_layers,14,15,14_biological,15_shapes,0.192230,0.000000,0.000000,0.154089,0.230670,***,***
control_probe,all_layers,14,17,14_biological,17_attention,-0.018220,0.401400,0.476079,-0.059673,0.023964,n.s.,n.s.
control_probe,all_layers,14,18,14_biological,18_sysprompt_labeled,-0.013038,0.576400,0.663077,-0.059823,0.031528,n.s.,n.s.
control_probe,all_layers,15,17,15_shapes,17_attention,-0.210451,0.000000,0.000000,-0.248101,-0.172654,***,***
control_probe,all_layers,15,18,15_shapes,18_sysprompt_labeled,-0.205268,0.000000,0.000000,-0.247195,-0.165109,***,***
control_probe,all_layers,17,18,17_attention,18_sysprompt_labeled,0.005182,0.811600,0.886963,-0.041554,0.049272,n.s.,n.s.
control_probe,layers_6plus,0,1,0_baseline,1_phenomenology,-0.072244,0.009400,0.019975,-0.127173,-0.016515,**,*
control_probe,layers_6plus,0,2,0_baseline,2_emotions,-0.192889,0.000000,0.000000,-0.241087,-0.144284,***,***
control_probe,layers_6plus,0,3,0_baseline,3_agency,-0.105019,0.000000,0.000000,-0.150589,-0.058932,***,***
control_probe,layers_6plus,0,4,0_baseline,4_intentions,-0.165954,0.000000,0.000000,-0.212661,-0.119249,***,***
control_probe,layers_6plus,0,5,0_baseline,5_prediction,-0.129950,0.000000,0.000000,-0.174112,-0.084944,***,***
control_probe,layers_6plus,0,6,0_baseline,6_cognitive,-0.099954,0.000000,0.000000,-0.146861,-0.051910,***,***
control_probe,layers_6plus,0,7,0_baseline,7_social,-0.102585,0.000000,0.000000,-0.156133,-0.049882,***,***
control_probe,layers_6plus,0,8,0_baseline,8_embodiment,-0.103659,0.000600,0.001457,-0.159814,-0.046048,***,**
control_probe,layers_6plus,0,9,0_baseline,9_roles,-0.133717,0.000000,0.000000,-0.184294,-0.082341,***,***
control_probe,layers_6plus,0,10,0_baseline,10_animacy,-0.045677,0.054800,0.090155,-0.092122,0.000753,n.s.,n.s.
control_probe,layers_6plus,0,11,0_baseline,11_formality,0.152964,0.000000,0.000000,0.088968,0.216602,***,***
control_probe,layers_6plus,0,12,0_baseline,12_expertise,-0.108501,0.000000,0.000000,-0.157077,-0.058222,***,***
control_probe,layers_6plus,0,13,0_baseline,13_helpfulness,0.057606,0.057000,0.092777,-0.001631,0.116505,n.s.,n.s.
control_probe,layers_6plus,0,14,0_baseline,14_biological,-0.115826,0.000000,0.000000,-0.163654,-0.066857,***,***
control_probe,layers_6plus,0,15,0_baseline,15_shapes,0.107246,0.000000,0.000000,0.065200,0.149471,***,***
control_probe,layers_6plus,0,17,0_baseline,17_attention,-0.136421,0.000000,0.000000,-0.183271,-0.089423,***,***
control_probe,layers_6plus,0,18,0_baseline,18_sysprompt_labeled,-0.131992,0.000000,0.000000,-0.184633,-0.081653,***,***
control_probe,layers_6plus,1,2,1_phenomenology,2_emotions,-0.120645,0.000000,0.000000,-0.178787,-0.063613,***,***
control_probe,layers_6plus,1,3,1_phenomenology,3_agency,-0.032775,0.246800,0.346426,-0.087354,0.022743,n.s.,n.s.
control_probe,layers_6plus,1,4,1_phenomenology,4_intentions,-0.093710,0.000000,0.000000,-0.148455,-0.038338,***,***
control_probe,layers_6plus,1,5,1_phenomenology,5_prediction,-0.057705,0.037800,0.066068,-0.114701,-0.002835,*,n.s.
control_probe,layers_6plus,1,6,1_phenomenology,6_cognitive,-0.027710,0.344400,0.428400,-0.086640,0.031343,n.s.,n.s.
control_probe,layers_6plus,1,7,1_phenomenology,7_social,-0.030341,0.331000,0.425571,-0.093211,0.030723,n.s.,n.s.
control_probe,layers_6plus,1,8,1_phenomenology,8_embodiment,-0.031414,0.339400,0.428400,-0.096540,0.033052,n.s.,n.s.
control_probe,layers_6plus,1,9,1_phenomenology,9_roles,-0.061473,0.043800,0.075297,-0.122398,-0.001425,*,n.s.
control_probe,layers_6plus,1,10,1_phenomenology,10_animacy,0.026568,0.343600,0.428400,-0.029661,0.081603,n.s.,n.s.
control_probe,layers_6plus,1,11,1_phenomenology,11_formality,0.225209,0.000000,0.000000,0.152263,0.296789,***,***
control_probe,layers_6plus,1,12,1_phenomenology,12_expertise,-0.036257,0.225600,0.333363,-0.095785,0.021951,n.s.,n.s.
control_probe,layers_6plus,1,13,1_phenomenology,13_helpfulness,0.129851,0.000200,0.000502,0.063043,0.196232,***,***
control_probe,layers_6plus,1,14,1_phenomenology,14_biological,-0.043582,0.142000,0.223979,-0.102396,0.013898,n.s.,n.s.
control_probe,layers_6plus,1,15,1_phenomenology,15_shapes,0.179490,0.000000,0.000000,0.125478,0.231168,***,***
control_probe,layers_6plus,1,17,1_phenomenology,17_attention,-0.064177,0.026600,0.050244,-0.121072,-0.007416,*,n.s.
control_probe,layers_6plus,1,18,1_phenomenology,18_sysprompt_labeled,-0.059748,0.048400,0.080491,-0.121701,-0.000612,*,n.s.
control_probe,layers_6plus,2,3,2_emotions,3_agency,0.087870,0.000400,0.000987,0.039152,0.137443,***,***
control_probe,layers_6plus,2,4,2_emotions,4_intentions,0.026935,0.283000,0.385989,-0.022969,0.077571,n.s.,n.s.
control_probe,layers_6plus,2,5,2_emotions,5_prediction,0.062940,0.012400,0.025638,0.013945,0.112108,*,*
control_probe,layers_6plus,2,6,2_emotions,6_cognitive,0.092935,0.000000,0.000000,0.041691,0.145646,***,***
control_probe,layers_6plus,2,7,2_emotions,7_social,0.090304,0.001200,0.002700,0.033950,0.146327,**,**
control_probe,layers_6plus,2,8,2_emotions,8_embodiment,0.089230,0.003200,0.006994,0.029022,0.149551,**,**
control_probe,layers_6plus,2,9,2_emotions,9_roles,0.059172,0.031600,0.057557,0.005526,0.113194,*,n.s.
control_probe,layers_6plus,2,10,2_emotions,10_animacy,0.147213,0.000000,0.000000,0.097361,0.196189,***,***
control_probe,layers_6plus,2,11,2_emotions,11_formality,0.345853,0.000000,0.000000,0.278496,0.413916,***,***
control_probe,layers_6plus,2,12,2_emotions,12_expertise,0.084388,0.000800,0.001883,0.032166,0.136543,***,**
control_probe,layers_6plus,2,13,2_emotions,13_helpfulness,0.250495,0.000000,0.000000,0.187996,0.312127,***,***
control_probe,layers_6plus,2,14,2_emotions,14_biological,0.077063,0.002600,0.005765,0.025737,0.128469,**,**
control_probe,layers_6plus,2,15,2_emotions,15_shapes,0.300135,0.000000,0.000000,0.254400,0.345892,***,***
control_probe,layers_6plus,2,17,2_emotions,17_attention,0.056468,0.030800,0.056776,0.005592,0.107871,*,n.s.
control_probe,layers_6plus,2,18,2_emotions,18_sysprompt_labeled,0.060897,0.030400,0.056722,0.006020,0.114055,*,n.s.
control_probe,layers_6plus,3,4,3_agency,4_intentions,-0.060935,0.012800,0.026112,-0.107768,-0.014824,*,*
control_probe,layers_6plus,3,5,3_agency,5_prediction,-0.024931,0.285200,0.385989,-0.071360,0.020335,n.s.,n.s.
control_probe,layers_6plus,3,6,3_agency,6_cognitive,0.005065,0.841800,0.913443,-0.044904,0.053788,n.s.,n.s.
control_probe,layers_6plus,3,7,3_agency,7_social,0.002434,0.925800,0.950654,-0.051439,0.055169,n.s.,n.s.
control_probe,layers_6plus,3,8,3_agency,8_embodiment,0.001360,0.970800,0.972200,-0.054774,0.058576,n.s.,n.s.
control_probe,layers_6plus,3,9,3_agency,9_roles,-0.028698,0.280200,0.385989,-0.080142,0.022809,n.s.,n.s.
control_probe,layers_6plus,3,10,3_agency,10_animacy,0.059342,0.011800,0.024732,0.013225,0.105708,*,*
control_probe,layers_6plus,3,11,3_agency,11_formality,0.257983,0.000000,0.000000,0.192379,0.323296,***,***
control_probe,layers_6plus,3,12,3_agency,12_expertise,-0.003482,0.885600,0.934461,-0.053403,0.045598,n.s.,n.s.
control_probe,layers_6plus,3,13,3_agency,13_helpfulness,0.162625,0.000000,0.000000,0.103292,0.222334,***,***
control_probe,layers_6plus,3,14,3_agency,14_biological,-0.010807,0.668400,0.757520,-0.059929,0.037793,n.s.,n.s.
control_probe,layers_6plus,3,15,3_agency,15_shapes,0.212265,0.000000,0.000000,0.169889,0.254135,***,***
control_probe,layers_6plus,3,17,3_agency,17_attention,-0.031402,0.204400,0.309636,-0.079403,0.016428,n.s.,n.s.
control_probe,layers_6plus,3,18,3_agency,18_sysprompt_labeled,-0.026973,0.307000,0.401462,-0.080505,0.023294,n.s.,n.s.
control_probe,layers_6plus,4,5,4_intentions,5_prediction,0.036004,0.129400,0.206231,-0.010227,0.081730,n.s.,n.s.
control_probe,layers_6plus,4,6,4_intentions,6_cognitive,0.066000,0.013400,0.026976,0.014382,0.115889,*,*
control_probe,layers_6plus,4,7,4_intentions,7_social,0.063369,0.022400,0.043382,0.008777,0.117350,*,*
control_probe,layers_6plus,4,8,4_intentions,8_embodiment,0.062295,0.034600,0.062267,0.005126,0.119717,*,n.s.
control_probe,layers_6plus,4,9,4_intentions,9_roles,0.032237,0.226600,0.333363,-0.019392,0.084864,n.s.,n.s.
control_probe,layers_6plus,4,10,4_intentions,10_animacy,0.120278,0.000000,0.000000,0.073052,0.167900,***,***
control_probe,layers_6plus,4,11,4_intentions,11_formality,0.318918,0.000000,0.000000,0.253723,0.384618,***,***
control_probe,layers_6plus,4,12,4_intentions,12_expertise,0.057453,0.024600,0.047048,0.007379,0.108299,*,*
control_probe,layers_6plus,4,13,4_intentions,13_helpfulness,0.223560,0.000000,0.000000,0.164599,0.282145,***,***
control_probe,layers_6plus,4,14,4_intentions,14_biological,0.050128,0.047600,0.080491,0.000623,0.099425,*,n.s.
control_probe,layers_6plus,4,15,4_intentions,15_shapes,0.273200,0.000000,0.000000,0.230096,0.316232,***,***
control_probe,layers_6plus,4,17,4_intentions,17_attention,0.029533,0.236400,0.337733,-0.019724,0.078005,n.s.,n.s.
control_probe,layers_6plus,4,18,4_intentions,18_sysprompt_labeled,0.033962,0.202600,0.309636,-0.018913,0.083649,n.s.,n.s.
control_probe,layers_6plus,5,6,5_prediction,6_cognitive,0.029996,0.230400,0.333713,-0.018044,0.078477,n.s.,n.s.
control_probe,layers_6plus,5,7,5_prediction,7_social,0.027365,0.305600,0.401462,-0.026901,0.079900,n.s.,n.s.
control_probe,layers_6plus,5,8,5_prediction,8_embodiment,0.026291,0.365600,0.451103,-0.030635,0.083586,n.s.,n.s.
