experiment,subject,condition,social_type,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
LLM,s019,bot,nonsocial,184.26,3.1,0.00844008425662446,0.0069533938885616145,0.008157143088075337,0.0005985195959930205,0.007534774729245173,0.00039689124350259896,0.032080806802002204,0.048074680784558364,0.07603705301649272,0.07014305727971534,0.016531715136769348,0.12547400499113745,0.00042059838719063063,0.004509670701443749,0.0049302690886343795,0.01106581704537576,0.0026996562382790652,0.0032203944212398864,0.984898,3.0,3.0
LLM,s019,bot,social,196.78,0.76,0.012257061255270318,0.01360591554249193,0.011698593605539329,0.0003547947332999707,0.005468516060116582,0.001606463330985316,0.044991344527703446,0.022228082645076936,0.08255600566993783,0.07847881617356255,0.0065360855340875065,0.10026919544291372,0.001425641467881266,0.00027126662976856693,0.0016969080976498327,0.0036894309017291753,0.00039476764199655766,0.005400499892562277,0.9894200000000001,3.0,3.0
LLM,s019,hum,nonsocial,174.38,2.34,0.008522750673354713,0.010090467892538243,0.011402645909902151,0.00017880159962983772,0.006353646916986321,0.00023934382143337368,0.03678765681384464,0.04907560224425993,0.08787001207668425,0.08349879041479101,0.013474446916300753,0.13528506934172027,0.0006244620200582332,0.002673638458291445,0.003298100478349678,0.008907570316418026,0.001748560794605797,0.005062348631458632,0.938128,3.0,3.1
LLM,s019,hum,social,216.92,1.02,0.017020669532964827,0.019879524689385034,0.00959879664442582,0.0008340794302282205,0.005299516027025203,0.0008398586276470972,0.0534724449516762,0.03276142530545624,0.08216156238628,0.07775005905309204,0.015442009942717091,0.11006758141128428,0.0011124501561850535,0.0023905341530613532,0.0035029843092464065,0.008567835168284396,0.0027874831765697743,0.005941890595119733,0.9887319999999999,3.0,3.1
LLM,s020,bot,nonsocial,174.62,2.16,0.010831215925903978,0.008433120967421673,0.01162027670757634,0.0003027318438650148,0.00558898060801139,0.00031523835767429043,0.037091564410452686,0.04365016559169103,0.08477930978177996,0.08207075920798376,0.012920548354144648,0.13009624352760527,0.002147406229643294,0.003531511467278687,0.005678917696921981,0.007992573849688794,0.0025017907917234306,0.004728499880130854,0.974228,3.0,3.0
LLM,s020,bot,social,213.14,1.08,0.013276943625381838,0.02000842724200789,0.011062379008425709,0.00032044480718220776,0.005515553698188818,0.0016772509535152836,0.05186099933470174,0.02483629951922726,0.07768661291545273,0.07390426687870398,0.010678422274644883,0.0978271461708812,0.002485374878202575,0.00228966203642127,0.004775036914623844,0.00434844785103978,0.002417779679092797,0.007078113430805586,0.9460980000000001,3.0,3.1
LLM,s020,hum,nonsocial,183.04,2.36,0.008413554446493665,0.008327460211641673,0.011878345813701756,0.0,0.007430920151571284,0.0002461922268907563,0.03629647285029913,0.0456034010579879,0.0788295026747881,0.0708055847676847,0.01507706842589739,0.12483691814490346,0.0011816419253663523,0.00408214356423711,0.005263785489603463,0.009691804734504266,0.004569156539177926,0.004365380517084614,0.972768,3.0,2.9
LLM,s020,hum,social,183.58,0.7,0.015174675643454007,0.012613441722500441,0.00943580143218212,0.0007893911141805403,0.0050194099589291295,0.0013918542392204324,0.04442457411046667,0.026330189510057816,0.0726694356495848,0.0681630700622184,0.010318199093979668,0.09215200363629314,0.0012100150680067383,0.0003699622480233635,0.0015799773160301018,0.005485259552944943,0.0011159920754252935,0.006105245512666737,0.93533,3.0,3.1
LLM,s021,bot,nonsocial,180.64,2.38,0.007649396055187085,0.013843737288864184,0.010332494331787258,0.0,0.005919334529359514,0.0,0.03774496220519804,0.04180321684393069,0.07845114214828222,0.07384838808594556,0.0194541432382489,0.12120444094669247,0.0007560818810818812,0.00432305918883283,0.005079141069914711,0.012434450369815634,0.0037077833742344053,0.0030146389517199668,0.984518,3.0,3.0
LLM,s021,bot,social,165.88,0.76,0.01152393194593967,0.016098114549036084,0.007276716003490431,0.0007066082036053274,0.002793384590053086,0.0014487091789412837,0.03984746447106588,0.02258747914761684,0.08157603857855329,0.07792428650849428,0.009744244975000834,0.09975458876368501,0.002066560332651491,0.0001282051282051282,0.002194765460856619,0.005259853531373985,0.0007537577980220761,0.00837266645628567,0.937144,3.0,3.0
