experiment,subject,condition,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp2_LLM,s036,hum,306.35,2.85,0.5,0.5,0.010413520587015038,0.016530429768937614,3.9,3.95
Exp2_LLM,s037,bot,296.15,2.35,0.35,0.15,0.008458199066709922,0.01349123278535255,3.85,3.85
Exp2_LLM,s037,hum,314.5,2.6,0.55,0.7,0.008390819234338025,0.013716030245099467,3.9,3.95
Exp2_LLM,s038,bot,264.2,1.75,0.35,0.3,0.007364489229713361,0.020439581749732344,3.8,3.8
Exp2_LLM,s038,hum,295.1,1.65,0.55,0.3,0.011804958471852001,0.016149017850476698,3.95,3.95
Exp2_LLM,s039,bot,317.75,2.2,0.35,0.6,0.008741890298704126,0.015395466691028013,4.0,4.0
Exp2_LLM,s039,hum,248.7,2.6,0.35,0.45,0.010011511678380353,0.01790276117365321,3.9,3.9
Exp2_LLM,s040,bot,296.65,2.05,0.2,0.25,0.007828658671341453,0.013641464583037832,3.85,3.9
Exp2_LLM,s040,hum,254.1,2.5,0.8,0.35,0.012914237213615759,0.01805884137139748,3.95,3.95
Exp2_LLM,s041,bot,312.95,2.25,0.45,0.5,0.007181265292952476,0.014577449675226908,3.85,3.85
Exp2_LLM,s041,hum,271.25,2.45,0.45,0.35,0.01329384370022029,0.019589869990080826,3.95,4.0
Exp2_LLM,s042,bot,310.55,2.05,0.2,0.2,0.009161817749214044,0.013078386905045652,3.9,3.9
Exp2_LLM,s042,hum,245.85,1.75,0.4,0.35,0.009927336926673998,0.020002184419788602,3.85,3.95
Exp2_LLM,s043,bot,338.05,2.55,0.5,0.3,0.007989529867151646,0.013283663927413198,4.0,3.95
Exp2_LLM,s043,hum,313.15,2.9,0.4,0.7,0.009775299735090687,0.015563823463319536,3.9,3.95
Exp2_LLM,s044,bot,332.7,1.9,0.1,0.15,0.00842472872465574,0.011595236122073789,3.9,3.95
Exp2_LLM,s044,hum,268.55,2.6,0.65,0.4,0.009347203979003935,0.021003526028028914,3.9,3.95
Exp2_LLM,s045,bot,331.95,2.9,0.5,0.35,0.010813410591161643,0.015327495599552179,3.9,3.85
