experiment,subject,condition,social_type,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp2_LLM,s007,hum,nonsocial,292.9,2.5,0.3,0.2,0.010889528139093897,0.016715658057560055,3.9,3.9
Exp2_LLM,s007,hum,social,304.7,2.5,0.3,0.4,0.008260001218910604,0.017085603770161738,3.9,3.9
Exp2_LLM,s008,bot,nonsocial,283.1,1.9,0.1,0.3,0.00985901000059359,0.018983310211381516,3.7,3.7
Exp2_LLM,s008,bot,social,295.0,1.2,0.1,0.2,0.006839494285608231,0.013375287304477393,3.8,3.9
Exp2_LLM,s008,hum,nonsocial,252.1,2.2,0.2,0.4,0.013763949106924137,0.02503540189919526,3.9,3.9
Exp2_LLM,s008,hum,social,267.2,1.7,0.5,0.2,0.00966217973800338,0.019253426820946544,3.9,3.9
Exp2_LLM,s009,bot,nonsocial,308.3,2.3,0.5,0.4,0.008161615223430388,0.010849217232893149,4.0,3.9
Exp2_LLM,s009,bot,social,372.9,2.3,0.1,0.8,0.007883958978636887,0.008046227044788735,4.0,4.0
Exp2_LLM,s009,hum,nonsocial,329.1,3.4,0.2,0.4,0.0100498744085416,0.015288703210730236,4.0,4.0
Exp2_LLM,s009,hum,social,265.0,1.7,0.7,0.4,0.008721373349721789,0.020674747344204204,3.9,3.9
Exp2_LLM,s010,bot,nonsocial,277.3,2.8,0.4,0.1,0.011057278927600398,0.018607404395002587,3.8,3.8
Exp2_LLM,s010,bot,social,312.8,1.7,0.0,0.3,0.0055182359967361405,0.019224326976298573,3.8,3.8
Exp2_LLM,s010,hum,nonsocial,280.5,3.0,0.2,0.3,0.010988573751717266,0.015397649375740004,3.8,3.8
Exp2_LLM,s010,hum,social,307.6,2.3,0.5,0.3,0.00685091868472853,0.016989486325498997,3.9,3.9
Exp2_LLM,s011,bot,nonsocial,317.7,2.9,0.1,0.2,0.00633516895515026,0.01178662969767032,3.7,3.9
Exp2_LLM,s011,bot,social,277.3,1.9,0.2,0.0,0.011249112625457322,0.01771800530283866,3.9,3.9
Exp2_LLM,s011,hum,nonsocial,247.7,3.1,0.5,0.4,0.01092076894062557,0.018438875949177813,3.8,3.9
Exp2_LLM,s011,hum,social,300.3,2.2,0.8,0.6,0.007975790013084662,0.01805828587682471,4.0,4.0
Exp2_LLM,s012,bot,nonsocial,337.3,3.8,0.4,0.3,0.009809284534288221,0.010964419099321408,3.8,3.8
Exp2_LLM,s012,bot,social,306.3,1.1,0.1,0.1,0.010209006123894004,0.016031235992455532,3.8,3.8
Exp2_LLM,s012,hum,nonsocial,283.5,3.0,0.2,0.2,0.01340852529259629,0.018162152616282366,3.9,4.0
Exp2_LLM,s012,hum,social,298.9,2.1,0.5,0.4,0.008483346972157827,0.014480489421036555,4.0,4.0
Exp2_LLM,s013,bot,nonsocial,317.8,2.6,0.1,0.0,0.009206587880271214,0.00819387360049774,4.0,4.0
Exp2_LLM,s013,bot,social,282.3,1.2,0.3,0.3,0.008533628924234852,0.01454229418797543,4.0,4.0
Exp2_LLM,s013,hum,nonsocial,264.9,3.2,0.3,0.6,0.011493688788024502,0.014508782856323201,3.9,3.9
Exp2_LLM,s013,hum,social,289.8,2.0,0.4,0.3,0.007555383412052881,0.019853307808104736,3.9,3.9
Exp2_LLM,s014,bot,nonsocial,264.2,1.7,0.5,0.3,0.00883228503661079,0.020751046833200795,3.8,3.8
Exp2_LLM,s014,bot,social,285.5,1.3,0.1,0.1,0.0073892889504994525,0.015166094213740638,3.8,3.8
Exp2_LLM,s014,hum,nonsocial,295.8,2.1,0.6,0.3,0.00808012591427813,0.013897150497102917,4.0,4.0
Exp2_LLM,s014,hum,social,285.3,2.4,0.8,0.8,0.01055047060970649,0.01891342696303985,3.9,3.8
Exp2_LLM,s015,bot,nonsocial,287.4,2.2,0.5,0.4,0.008081140177054823,0.019378724206474886,3.7,3.7
Exp2_LLM,s015,bot,social,319.6,1.2,0.4,0.3,0.008204169378558775,0.012089128586964227,4.0,4.0
Exp2_LLM,s015,hum,nonsocial,258.7,3.0,0.2,0.2,0.007286103861703866,0.015089314258957386,3.9,3.9
Exp2_LLM,s015,hum,social,254.3,1.6,0.2,0.3,0.011503012946947777,0.020989780995448442,3.8,3.8
Exp2_LLM,s016,bot,nonsocial,308.4,2.3,0.0,0.3,0.010449782974867863,0.010756997791700862,3.9,3.9
Exp2_LLM,s016,bot,social,297.0,1.4,0.2,0.4,0.007543346356761514,0.015951107639820404,3.9,3.9
Exp2_LLM,s016,hum,nonsocial,257.7,3.1,0.4,0.3,0.009971818433363689,0.019359126143799248,3.8,3.8
Exp2_LLM,s016,hum,social,270.6,2.2,0.2,0.4,0.010877877042489414,0.0178878655568781,3.9,3.9
