experiment,subject,condition,topic,social_type,social,word_count,question_count,tom_count,polite_pos,polite_neg,impolite,politeness_score,nonfluency_count,liwc_filler_count,disfluency_count,like_count,fung_interpersonal_count,fung_referential_count,fung_structural_count,fung_cognitive_count,fung_total_count,demir_modal_count,demir_verb_count,demir_adverb_count,demir_adjective_count,demir_quantifier_count,demir_noun_count,demir_total_count,sentiment,sentiment_pos,sentiment_neg,sentiment_neu,quality,connectedness,tom_rate,politeness_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate
LLM,s001,hum,trust,social,1,1176,7,1,1,0,0,1,1,1,2,0,21,93,86,9,109,25,19,12,1,3,0,60,0.99154,0.24619999999999997,0.045399999999999996,0.7086,3.0,3.0,0.0008503401360544217,0.0008503401360544217,0.0008503401360544217,0.0008503401360544217,0.0017006802721088435,0.0,0.017857142857142856,0.07908163265306123,0.07312925170068027,0.007653061224489796,0.09268707482993198,0.021258503401360544,0.016156462585034014,0.01020408163265306,0.0008503401360544217,0.002551020408163265,0.0,0.05102040816326531
LLM,s001,hum,work_life,social,1,780,3,2,10,0,0,10,7,2,9,3,24,71,74,15,87,6,10,4,0,1,0,21,0.98558,0.27399999999999997,0.0082,0.7178,3.0,3.0,0.002564102564102564,0.01282051282051282,0.008974358974358974,0.002564102564102564,0.011538461538461539,0.0038461538461538464,0.03076923076923077,0.09102564102564102,0.09487179487179487,0.019230769230769232,0.11153846153846154,0.007692307692307693,0.01282051282051282,0.005128205128205128,0.0,0.001282051282051282,0.0,0.026923076923076925
LLM,s002,bot,architecture,nonsocial,0,1082,6,1,1,0,0,1,1,2,3,5,50,93,92,10,142,6,14,4,0,9,1,34,0.9865600000000001,0.1894,0.0038,0.8068,3.0,3.0,0.0009242144177449168,0.0009242144177449168,0.0009242144177449168,0.0018484288354898336,0.0027726432532347504,0.0046210720887245845,0.04621072088724584,0.08595194085027727,0.08502772643253234,0.009242144177449169,0.13123844731977818,0.005545286506469501,0.012939001848428836,0.0036968576709796672,0.0,0.00831792975970425,0.0009242144177449168,0.031423290203327174
LLM,s002,bot,art,nonsocial,0,664,10,1,5,0,0,5,1,2,3,3,23,45,38,5,69,11,5,10,0,3,2,31,0.9762000000000001,0.2532,0.0094,0.7374,3.0,3.0,0.0015060240963855422,0.007530120481927711,0.0015060240963855422,0.0030120481927710845,0.004518072289156626,0.004518072289156626,0.03463855421686747,0.0677710843373494,0.0572289156626506,0.007530120481927711,0.10391566265060241,0.016566265060240965,0.007530120481927711,0.015060240963855422,0.0,0.004518072289156626,0.0030120481927710845,0.046686746987951805
LLM,s002,bot,books,nonsocial,0,982,19,0,1,0,0,1,7,4,11,3,35,78,95,14,117,21,14,8,0,1,0,44,0.9827600000000001,0.1924,0.0496,0.758,3.0,3.0,0.0,0.0010183299389002036,0.007128309572301426,0.004073319755600814,0.01120162932790224,0.003054989816700611,0.035641547861507125,0.07942973523421588,0.09674134419551934,0.014256619144602852,0.11914460285132383,0.021384928716904276,0.014256619144602852,0.008146639511201629,0.0,0.0010183299389002036,0.0,0.04480651731160896
LLM,s002,bot,conflict,social,1,1336,0,0,2,0,0,2,4,0,4,0,25,96,84,6,106,8,34,14,3,9,2,70,0.9756199999999999,0.23479999999999998,0.0318,0.7332,3.0,3.0,0.0,0.0014970059880239522,0.0029940119760479044,0.0,0.0029940119760479044,0.0,0.0187125748502994,0.0718562874251497,0.06287425149700598,0.004491017964071856,0.07934131736526946,0.005988023952095809,0.025449101796407185,0.010479041916167664,0.002245508982035928,0.006736526946107785,0.0014970059880239522,0.05239520958083832
LLM,s002,bot,cooking,nonsocial,0,784,26,3,1,1,0,2,0,6,6,31,55,70,76,37,134,2,2,5,0,0,0,9,0.99222,0.2838,0.008400000000000001,0.708,3.0,4.0,0.003826530612244898,0.002551020408163265,0.0,0.007653061224489796,0.007653061224489796,0.039540816326530615,0.07015306122448979,0.08928571428571429,0.09693877551020408,0.047193877551020405,0.17091836734693877,0.002551020408163265,0.002551020408163265,0.006377551020408163,0.0,0.0,0.0,0.011479591836734694
LLM,s002,bot,cultural_celebrations,social,1,1079,2,0,10,0,0,10,2,0,2,1,14,90,92,4,97,13,13,6,0,4,4,40,0.99678,0.3226,0.016599999999999997,0.6606,3.0,3.0,0.0,0.009267840593141797,0.0018535681186283596,0.0,0.0018535681186283596,0.0009267840593141798,0.012974976830398516,0.08341056533827618,0.08526413345690455,0.0037071362372567192,0.08989805375347544,0.012048192771084338,0.012048192771084338,0.005560704355885079,0.0,0.0037071362372567192,0.0037071362372567192,0.03707136237256719
LLM,s002,bot,empathy,social,1,1318,0,0,1,0,0,1,4,0,4,5,17,93,96,11,105,38,25,5,2,3,0,73,0.98774,0.1744,0.013600000000000001,0.812,3.0,2.0,0.0,0.0007587253414264037,0.0030349013657056147,0.0,0.0030349013657056147,0.0037936267071320183,0.012898330804248861,0.07056145675265554,0.07283763277693475,0.00834597875569044,0.07966616084977238,0.028831562974203338,0.01896813353566009,0.0037936267071320183,0.0015174506828528073,0.002276176024279211,0.0,0.05538694992412747
LLM,s002,bot,family,social,1,799,8,0,1,0,0,1,0,0,0,11,20,55,50,11,75,9,6,9,0,4,0,28,0.98486,0.24500000000000002,0.0014,0.7535999999999999,3.0,3.0,0.0,0.0012515644555694619,0.0,0.0,0.0,0.01376720901126408,0.025031289111389236,0.0688360450563204,0.0625782227784731,0.01376720901126408,0.09386733416770963,0.011264080100125156,0.007509386733416771,0.011264080100125156,0.0,0.0050062578222778474,0.0,0.03504380475594493
LLM,s002,bot,fashion,nonsocial,0,992,2,2,9,0,0,9,2,0,2,3,18,80,76,10,94,11,15,11,1,4,0,42,0.96242,0.238,0.02,0.7422,3.0,3.0,0.0020161290322580645,0.009072580645161291,0.0020161290322580645,0.0,0.0020161290322580645,0.0030241935483870967,0.018145161290322582,0.08064516129032258,0.07661290322580645,0.010080645161290322,0.09475806451612903,0.011088709677419355,0.015120967741935484,0.011088709677419355,0.0010080645161290322,0.004032258064516129,0.0,0.04233870967741935
LLM,s002,bot,forgiveness,social,1,598,2,0,11,0,0,11,2,0,2,0,8,55,48,3,63,11,13,3,0,3,2,32,0.98324,0.3252,0.0342,0.6404,3.0,3.0,0.0,0.01839464882943144,0.0033444816053511705,0.0,0.0033444816053511705,0.0,0.013377926421404682,0.09197324414715718,0.0802675585284281,0.005016722408026756,0.10535117056856187,0.01839464882943144,0.021739130434782608,0.005016722408026756,0.0,0.005016722408026756,0.0033444816053511705,0.05351170568561873
LLM,s002,bot,friendship,social,1,996,10,5,2,0,0,2,0,2,2,4,33,79,81,16,111,3,25,15,0,2,0,45,0.9963599999999999,0.31779999999999997,0.022,0.6604,3.0,3.0,0.0050200803212851405,0.002008032128514056,0.0,0.002008032128514056,0.002008032128514056,0.004016064257028112,0.03313253012048193,0.07931726907630522,0.08132530120481928,0.01606425702811245,0.11144578313253012,0.0030120481927710845,0.025100401606425703,0.015060240963855422,0.0,0.002008032128514056,0.0,0.045180722891566265
LLM,s002,bot,goals,social,1,715,3,0,6,0,0,6,0,0,0,1,17,64,59,2,75,8,11,6,0,0,2,27,0.99286,0.3028,0.0126,0.6846,3.0,3.0,0.0,0.008391608391608392,0.0,0.0,0.0,0.0013986013986013986,0.023776223776223775,0.08951048951048951,0.08251748251748252,0.002797202797202797,0.1048951048951049,0.011188811188811189,0.015384615384615385,0.008391608391608392,0.0,0.0,0.002797202797202797,0.03776223776223776
LLM,s002,bot,love,social,1,721,14,6,1,0,0,1,9,13,22,29,77,50,58,40,127,11,17,7,0,1,0,36,0.9881399999999999,0.2734,0.011399999999999999,0.7154,3.0,4.0,0.008321775312066574,0.0013869625520110957,0.012482662968099861,0.018030513176144243,0.030513176144244106,0.04022191400832178,0.10679611650485436,0.06934812760055478,0.08044382801664356,0.05547850208044383,0.17614424410540916,0.015256588072122053,0.023578363384188627,0.009708737864077669,0.0,0.0013869625520110957,0.0,0.049930651872399444
LLM,s002,bot,nature,nonsocial,0,799,5,0,2,0,0,2,0,0,0,10,30,88,84,10,117,7,9,0,0,2,0,18,0.9827,0.2492,0.012199999999999999,0.7386,3.0,3.0,0.0,0.0025031289111389237,0.0,0.0,0.0,0.012515644555694618,0.03754693366708386,0.11013767209011265,0.10513141426783479,0.012515644555694618,0.14643304130162704,0.008760951188986232,0.011264080100125156,0.0,0.0,0.0025031289111389237,0.0,0.02252816020025031
LLM,s002,bot,networks,social,1,889,2,1,11,0,0,11,0,0,0,4,16,77,75,7,90,18,35,5,0,2,6,66,0.9964999999999999,0.3644,0.023399999999999997,0.6122,3.0,4.0,0.0011248593925759281,0.012373453318335208,0.0,0.0,0.0,0.0044994375703037125,0.01799775028121485,0.08661417322834646,0.0843644544431946,0.007874015748031496,0.10123734533183353,0.020247469066366704,0.03937007874015748,0.00562429696287964,0.0,0.0022497187851518562,0.006749156355455568,0.07424071991001124
LLM,s002,bot,seasons,nonsocial,0,989,21,7,1,0,0,1,0,9,9,12,47,87,81,23,134,6,7,15,2,5,1,36,0.9938,0.26280000000000003,0.01,0.7272000000000001,3.0,3.0,0.007077856420626896,0.0010111223458038423,0.0,0.00910010111223458,0.00910010111223458,0.012133468149646108,0.047522750252780584,0.08796764408493428,0.08190091001011122,0.023255813953488372,0.13549039433771487,0.006066734074823054,0.007077856420626896,0.015166835187057633,0.0020222446916076846,0.005055611729019211,0.0010111223458038423,0.03640040444893832
LLM,s002,bot,space,nonsocial,0,1036,4,2,4,0,1,3,0,0,0,0,16,78,70,5,89,12,16,5,1,2,2,38,0.9865600000000001,0.23359999999999997,0.0226,0.7436,3.0,3.0,0.0019305019305019305,0.0028957528957528956,0.0,0.0,0.0,0.0,0.015444015444015444,0.07528957528957529,0.06756756756756757,0.004826254826254826,0.0859073359073359,0.011583011583011582,0.015444015444015444,0.004826254826254826,0.0009652509652509653,0.0019305019305019305,0.0019305019305019305,0.03667953667953668
LLM,s002,bot,teamwork,social,1,865,4,0,6,0,0,6,4,0,4,3,21,70,69,7,85,13,5,4,0,10,0,32,0.98962,0.2982,0.028199999999999996,0.6734,3.0,3.0,0.0,0.006936416184971098,0.004624277456647399,0.0,0.004624277456647399,0.003468208092485549,0.024277456647398842,0.08092485549132948,0.07976878612716763,0.008092485549132947,0.09826589595375723,0.015028901734104046,0.005780346820809248,0.004624277456647399,0.0,0.011560693641618497,0.0,0.03699421965317919
LLM,s002,bot,travel,nonsocial,0,816,11,2,1,3,0,4,1,3,4,6,25,70,70,9,98,16,2,2,0,7,0,27,0.98242,0.2096,0.0038,0.7866,3.0,3.0,0.0024509803921568627,0.004901960784313725,0.0012254901960784314,0.003676470588235294,0.004901960784313725,0.007352941176470588,0.030637254901960783,0.0857843137254902,0.0857843137254902,0.011029411764705883,0.12009803921568628,0.0196078431372549,0.0024509803921568627,0.0024509803921568627,0.0,0.00857843137254902,0.0,0.03308823529411765
LLM,s002,bot,weather,nonsocial,0,610,7,2,8,0,0,8,1,0,1,5,18,39,34,6,51,17,10,6,1,1,0,35,0.96594,0.2206,0.013800000000000002,0.7656000000000001,3.0,3.0,0.003278688524590164,0.013114754098360656,0.001639344262295082,0.0,0.001639344262295082,0.00819672131147541,0.029508196721311476,0.06393442622950819,0.05573770491803279,0.009836065573770493,0.08360655737704918,0.027868852459016394,0.01639344262295082,0.009836065573770493,0.001639344262295082,0.001639344262295082,0.0,0.05737704918032787
LLM,s002,hum,boundaries,social,1,891,2,0,11,0,0,11,0,0,0,0,16,76,63,4,87,10,13,19,0,0,0,42,0.9962,0.3412,0.057199999999999994,0.6016,3.0,3.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.017957351290684626,0.08529741863075196,0.0707070707070707,0.004489337822671156,0.09764309764309764,0.01122334455667789,0.014590347923681257,0.02132435465768799,0.0,0.0,0.0,0.04713804713804714
LLM,s002,hum,cars,nonsocial,0,807,10,4,1,0,0,1,2,5,7,18,44,56,48,22,102,5,6,8,0,4,0,23,0.98736,0.24100000000000002,0.0194,0.7396,3.0,3.0,0.004956629491945477,0.0012391573729863693,0.0024783147459727386,0.006195786864931847,0.008674101610904586,0.022304832713754646,0.05452292441140025,0.06939281288723669,0.05947955390334572,0.027261462205700124,0.12639405204460966,0.006195786864931847,0.007434944237918215,0.009913258983890954,0.0,0.004956629491945477,0.0,0.028500619578686492
LLM,s002,hum,childhood_memories,social,1,1121,19,15,6,0,0,6,0,16,16,29,79,83,82,46,160,8,4,13,0,2,0,27,0.9906,0.23700000000000002,0.030200000000000005,0.7328,3.0,3.0,0.013380909901873328,0.0053523639607493305,0.0,0.014272970561998216,0.014272970561998216,0.025869759143621766,0.0704727921498662,0.07404103479036575,0.07314897413024085,0.04103479036574487,0.14272970561998216,0.007136485280999108,0.003568242640499554,0.01159678858162355,0.0,0.001784121320249777,0.0,0.02408563782337199
LLM,s002,hum,communication,social,1,1017,5,0,8,0,0,8,0,0,0,6,18,87,76,10,101,22,17,7,3,0,0,49,0.98912,0.22680000000000003,0.022,0.7512,3.0,3.0,0.0,0.007866273352999017,0.0,0.0,0.0,0.0058997050147492625,0.017699115044247787,0.0855457227138643,0.07472959685349066,0.00983284169124877,0.09931170108161258,0.021632251720747297,0.01671583087512291,0.00688298918387414,0.0029498525073746312,0.0,0.0,0.048180924287118974
LLM,s002,hum,exercise,nonsocial,0,544,9,1,12,0,0,12,0,0,0,2,15,44,39,2,55,8,3,1,0,4,0,16,0.9846,0.2864,0.008799999999999999,0.7048,3.0,4.0,0.001838235294117647,0.022058823529411766,0.0,0.0,0.0,0.003676470588235294,0.027573529411764705,0.08088235294117647,0.07169117647058823,0.003676470588235294,0.10110294117647059,0.014705882352941176,0.0055147058823529415,0.001838235294117647,0.0,0.007352941176470588,0.0,0.029411764705882353
LLM,s002,hum,food,nonsocial,0,545,15,2,2,0,0,2,0,3,3,14,45,31,28,18,74,3,1,8,0,2,0,14,0.9663600000000001,0.22160000000000002,0.0212,0.7565999999999999,3.0,3.0,0.003669724770642202,0.003669724770642202,0.0,0.005504587155963303,0.005504587155963303,0.025688073394495414,0.08256880733944955,0.05688073394495413,0.05137614678899083,0.03302752293577982,0.13577981651376148,0.005504587155963303,0.001834862385321101,0.014678899082568808,0.0,0.003669724770642202,0.0,0.025688073394495414
LLM,s002,hum,gardening,nonsocial,0,669,16,1,2,0,0,2,0,1,1,19,44,72,66,20,116,4,2,6,0,8,0,20,0.9823000000000001,0.275,0.0156,0.7094,3.0,4.0,0.0014947683109118087,0.0029895366218236174,0.0,0.0014947683109118087,0.0014947683109118087,0.028400597907324365,0.06576980568011959,0.10762331838565023,0.09865470852017937,0.029895366218236172,0.17339312406576982,0.005979073243647235,0.0029895366218236174,0.008968609865470852,0.0,0.01195814648729447,0.0,0.029895366218236172
