probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,7,Social,Mental,12,Expertise,Pragmatic,0.0001174978263131015,7.782447709923377e-06,0.00023919886910364626,0.02,0.98,0.04,0.09272727272727273,False,n.s.
metacognitive,7,Social,Mental,13,Helpfulness,Pragmatic,0.00016945211408972167,-1.3738408362201802e-05,0.0003471808129591246,0.033,0.967,0.066,0.13114285714285714,False,n.s.
metacognitive,7,Social,Mental,14,Biological,Control,0.00028594023922690585,0.00018446830821986486,0.0004074448701412407,0.0,1.0,0.0,0.0,True,***
metacognitive,7,Social,Mental,15,Shapes,Control,0.00012169672498968348,-5.7493369968619895e-05,0.00029410406650976477,0.083,0.917,0.166,0.2673473684210526,False,n.s.
metacognitive,7,Social,Mental,17,Attention,Mental,6.647001220649068e-05,-4.916535809391332e-05,0.00019698001911477723,0.137,0.863,0.274,0.3902201834862386,False,n.s.
metacognitive,7,Social,Mental,18,SysPrompt (labeled),SysPrompt,-1.276853806317672e-05,-0.00012116411469664642,0.00011042708875494907,0.614,0.386,0.772,0.8621605839416059,False,n.s.
metacognitive,8,Embodiment,Physical,9,Roles,Physical,-0.00010556283536025574,-0.00019000279947690738,-3.0373070529409816e-05,0.999,0.001,0.002,0.007463414634146341,True,**
metacognitive,8,Embodiment,Physical,10,Animacy,Physical,-8.258669506789012e-05,-0.00015980473920073365,-1.019994268113064e-05,0.982,0.018,0.036,0.0860625,False,n.s.
metacognitive,8,Embodiment,Physical,11,Formality,Pragmatic,0.00010479089753955454,-2.975149726692112e-06,0.00020766727169987427,0.028,0.972,0.056,0.119,False,n.s.
metacognitive,8,Embodiment,Physical,12,Expertise,Pragmatic,-8.586778942206902e-05,-0.00016113640818580217,-1.0876518953576391e-05,0.989,0.011,0.022,0.05705084745762711,False,n.s.
metacognitive,8,Embodiment,Physical,13,Helpfulness,Pragmatic,-3.391350164544885e-05,-0.00017575661649826,0.00010025870185923938,0.654,0.346,0.692,0.7842666666666666,False,n.s.
metacognitive,8,Embodiment,Physical,14,Biological,Control,8.257462349173533e-05,2.81064347147455e-05,0.00014278614100493724,0.003,0.997,0.006,0.01836,True,*
metacognitive,8,Embodiment,Physical,15,Shapes,Control,-8.166889074548706e-05,-0.00023321868749684484,5.872048039881591e-05,0.841,0.159,0.318,0.43832432432432433,False,n.s.
metacognitive,8,Embodiment,Physical,17,Attention,Mental,-0.00013689560352867986,-0.0002186371174625102,-5.0356207258975495e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,8,Embodiment,Physical,18,SysPrompt (labeled),SysPrompt,-0.00021613415379834728,-0.00029035922274928594,-0.00014363229570042355,1.0,0.0,0.0,0.0,True,***
metacognitive,9,Roles,Physical,10,Animacy,Physical,2.2976140292365624e-05,-6.605624894212496e-05,0.00012272988923149326,0.319,0.681,0.638,0.745145038167939,False,n.s.
metacognitive,9,Roles,Physical,11,Formality,Pragmatic,0.0002103537328998103,0.00010520429277467247,0.00031200939302353676,0.0,1.0,0.0,0.0,True,***
