experiment,subject,condition,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
Human,sub-023,hum,128.2,0.45,0.007045517911500221,0.028835600302573854,0.012996711131220168,0.0008152173913043478,0.0021953409729458715,0.0,0.05188838770954446,0.09422163299807765,0.04871665857025296,0.0407633899498571,0.058497241333134276,0.12930436571515078,0.0015140446905789167,0.00041666666666666664,0.0019307113572455833,0.030988208518356698,0.0005706484641638226,0.0014306847242000827,0.72432,2.5,2.55
LLM,s001,bot,989.25,5.85,0.010533104859706769,0.013550238604303756,0.009297885286768911,0.0012802978568546733,0.0049683135044283865,0.002009154262592126,0.04163899437465462,0.03656092064201181,0.08634105735642736,0.08088114855175386,0.01253752408159314,0.11756018439886454,0.0009425390069154645,0.0012541928549264418,0.0021967318618419064,0.007726824188552679,0.00171273604983085,0.005087868279931064,0.983427,3.0,3.15
LLM,s001,hum,926.15,7.95,0.011775854493174545,0.012362017838170364,0.010426430888427218,0.00027191252425038954,0.0059148858670494495,0.0004164202374029173,0.041167521848474886,0.033468171020045734,0.08096017101875189,0.07834492028009638,0.01009447901227896,0.1110705688667217,0.001092119674632951,0.0019270474114998412,0.0030191670861327924,0.005700807934158831,0.0017493519726203513,0.005950739410067441,0.978496,3.05,3.05
LLM,s002,bot,977.15,4.3,0.011702443890701209,0.0159507561869053,0.008053190402450432,0.0006999710151163216,0.005185165644238761,0.0014286261111249442,0.043020153250536965,0.02833227936812897,0.08330843260377145,0.07802011039352352,0.009818837541327702,0.10786193966712357,0.0006603928393630026,0.0012923923095691675,0.00195278514893217,0.005870062145893134,0.001233116923127795,0.004796646859986748,0.9483929999999999,3.0,3.05
LLM,s002,hum,885.65,7.75,0.013547170900031144,0.011113285068554895,0.009457149431540395,0.000439355666037467,0.00612220438111958,0.001069667088934113,0.04174883253621759,0.033997787828590066,0.07659478113716162,0.07179907517552757,0.012675020831390427,0.1071601355759287,0.0013154771145965118,0.0018143050068712197,0.0031297821214677315,0.007924217312046605,0.0017889329446800577,0.00650381783085741,0.9600339999999999,2.9,2.95
LLM,s003,bot,881.65,4.05,0.013719306314291102,0.014637500749818778,0.009680508906880842,0.0008968162619583433,0.0038631594346878267,0.0013869957570614197,0.04418428742469831,0.031152095637444983,0.0784500804215266,0.07324576358582562,0.009763538478253836,0.10475306158228073,0.0008012228945844526,0.0008045378096748588,0.0016057607042593112,0.005774191521006622,0.0011931161322870153,0.006005400666339662,0.966825,3.05,3.05
LLM,s003,hum,917.75,10.45,0.013353667162812995,0.012062188301256757,0.009877739894385215,0.0007292103384717315,0.004860759538187067,0.0007831007944862261,0.041666666029599994,0.04444423380975275,0.08011592910407836,0.07536475534320063,0.017997348205367837,0.12086042525238909,0.0017867961190564555,0.0039439313016153615,0.005730727420671817,0.0111906658660595,0.0029036364725402697,0.003914215096019547,0.97301,2.95,3.2
LLM,s004,bot,958.15,6.1,0.013508438667795223,0.012205385157708856,0.01103484527317307,0.0010194530377540124,0.006263710899293245,0.0017644682435446978,0.045796301279269105,0.03357037933419526,0.07844968811910705,0.07441029750335568,0.012755970703235506,0.10813775285872321,0.0012128772962625108,0.001823338876107508,0.003036216172370019,0.007314618402537306,0.0019109663401269082,0.004533303985594451,0.962893,3.0,3.05
LLM,s004,hum,962.15,6.7,0.012805018206390345,0.012582444715049023,0.009847955520283221,0.00010043272617490188,0.005352124275365978,0.0006748807605996187,0.04136285620386309,0.033351857030803206,0.07399584733785775,0.06840832178815409,0.01230547416796971,0.1050654149300608,0.0019156492032413844,0.0017205962161099,0.003636245419351285,0.007947098209958623,0.0015353822195886438,0.003852971366072979,0.93542,2.95,3.05
LLM,s005,bot,951.6,7.5,0.012150805282688717,0.011221984024215391,0.01162326424977325,0.00033307682843668597,0.0070026214601641035,0.0007669811449870828,0.04309873299026523,0.03759698343506203,0.08257285223970091,0.08009645274685559,0.014648011780275366,0.11657924923771557,0.001213372062811757,0.001972247250907602,0.003185619313719359,0.009622021421710652,0.001809747795539882,0.005053478301879573,0.9590989999999999,3.0,3.1
LLM,s005,hum,911.3,7.65,0.013978043549221325,0.015184908301828632,0.013465253080239844,0.0003130360965957482,0.006249579398044798,0.0007614224247197832,0.04995224285065013,0.039033575488558916,0.08245998627758741,0.07632954243335259,0.014286801476597907,0.11931125356691592,0.0016977272470894218,0.002410457092909392,0.004108184339998814,0.008013011220282739,0.0015126707197610023,0.00332362087706127,0.986207,2.8,3.1
LLM,s006,bot,930.3,6.95,0.013781471875678838,0.013232326839056594,0.008648608363039675,0.0008776756126437215,0.004538648669541137,0.0013857734573123875,0.042464504817272354,0.033819750209879526,0.08375954435303029,0.08068011802200921,0.009890951227045097,0.11220980827812918,0.0018023605831925572,0.000528491168987961,0.0023308517521805185,0.004890672443938834,0.0010650083943429607,0.005317094239140191,0.960797,3.05,3.05
LLM,s006,hum,872.45,7.75,0.009118176766017035,0.010511264856358376,0.008781612956008215,0.0005300714663507749,0.006351127662585816,0.0008751402945986217,0.03616739400191883,0.03757719590096602,0.07911171169078336,0.07558745069170218,0.013125455894684196,0.11419385783094513,0.0015724991690228077,0.002048233428969775,0.003620732597992582,0.008541784150920535,0.001768379859233327,0.00398343204775794,0.919552,3.0,3.05
LLM,s007,bot,940.75,5.35,0.012702898277276276,0.01100789355719663,0.008539533656348554,0.00023502967997640487,0.004497135733086171,0.0003695005512915748,0.037351991455175614,0.03584358231251022,0.08391645046015875,0.08126424167624514,0.012360093069605824,0.11503763580698852,0.0010107712775250344,0.0015995247453502726,0.0026102960228753073,0.007426863894983368,0.001141629665761818,0.0050769532383164815,0.9850450000000001,3.05,3.2
LLM,s007,hum,993.0,11.5,0.0131878434888132,0.018050084580348003,0.012626179258659132,0.0012386153848797277,0.004424585655576432,0.0011665238136134403,0.05069383218188993,0.04197246062328556,0.08000963744789862,0.07253777208676056,0.017890997993126757,0.11870579522879579,0.0006083028425021801,0.00439424304972688,0.0050025458922290595,0.011188730677420284,0.004909378950222174,0.0037033220477763334,0.946002,2.9,3.0
LLM,s008,bot,1009.9,5.2,0.012535920919787367,0.01131341012589559,0.010290266683537415,0.0008443299435285104,0.003756352903593383,0.0013277444223917443,0.040068024998734006,0.030143860315966876,0.08158795965859059,0.07843749752451609,0.0104023379012823,0.10660713061549343,0.001647159968154273,0.0015346648220887224,0.003181824790242995,0.005079711740999401,0.0009763855593024045,0.00596551232329137,0.97811,3.0,3.05
LLM,s008,hum,957.0,8.75,0.013806951301829753,0.013471793644322414,0.008816219577942366,0.0003334649940452745,0.005377686279127038,0.0006939654531243812,0.042500081250391224,0.042380359049371506,0.07719068044807116,0.07126252678048282,0.016708325234454407,0.11599492497143368,0.00146038540216497,0.0018139932119894963,0.003274378614154466,0.011145974908677853,0.0018962343240000953,0.004214043819447634,0.96488,3.0,2.95
LLM,s009,bot,990.05,6.4,0.013532726799729397,0.013017952552064779,0.00989373825670112,0.0006621472891434374,0.005418179242946242,0.0009222812561300037,0.04344702539671498,0.03727142895734225,0.07768781333638648,0.07499021454529303,0.014698422263234668,0.1118245465612678,0.0016424429171048517,0.001301463646958845,0.002943906564063697,0.009435293912668183,0.0011334251374527132,0.005782138825381475,0.980484,3.05,3.0
