metric,label,anova_F,anova_p,anova_eta2,anova_sig,mean_sam,sem_sam,mean_casey,sem_casey,mean_chatgpt,sem_chatgpt,mean_copilot,sem_copilot,dz_Sam_vs_Casey,padj_Sam_vs_Casey,sig_Sam_vs_Casey,dz_Sam_vs_ChatGPT,padj_Sam_vs_ChatGPT,sig_Sam_vs_ChatGPT,dz_Sam_vs_Copilot,padj_Sam_vs_Copilot,sig_Sam_vs_Copilot,dz_Casey_vs_ChatGPT,padj_Casey_vs_ChatGPT,sig_Casey_vs_ChatGPT,dz_Casey_vs_Copilot,padj_Casey_vs_Copilot,sig_Casey_vs_Copilot,dz_ChatGPT_vs_Copilot,padj_ChatGPT_vs_Copilot,sig_ChatGPT_vs_Copilot
fung_referential_rate,Fung: Referential DMs,2.717631758901151,0.046811474507254314,0.041244774926467075,*,0.08357016158742922,0.0006572150062826069,0.0826080865889192,0.0006696135031517873,0.08237527568044958,0.0005794392949268729,0.0810449227942899,0.0005704872235378106,0.1440385583317871,0.3761280113668507,,0.19505514656437337,0.2611218468155597,,0.41080730902562784,0.032994493669960545,*,0.03821630481217458,0.7881181867877703,,0.23688987514828672,0.2611218468155597,,0.2142476036268608,0.2611218468155597,
fung_structural_rate,Fung: Structural DMs,5.10679030256896,0.0021693781798917122,0.07406881925965579,**,0.0790037229990189,0.0006110724301611484,0.0785019935932808,0.0006739339045699574,0.07694349091399187,0.0006399879388956396,0.07596918340228469,0.0005114040668291706,0.08476491046872808,0.5516820309968433,,0.3281748908455367,0.049034409742298925,*,0.5023450920831597,0.005136854021841702,**,0.23255414116745293,0.15974076938049267,,0.40771611476607156,0.017505076345557778,*,0.16323568102918418,0.30479525089514,
fung_cognitive_rate,Fung: Cognitive DMs,36.19362055370236,1.1102230246251565e-16,0.3783713989337377,***,0.018400114431971343,0.0006034078353912679,0.020048316544703293,0.0006771202527232678,0.012504377285020053,0.00046407020908650833,0.014474735753424617,0.0004186967952967979,-0.23738998997142563,0.09959718041058944,,1.085063756822724,1.8211324920350852e-09,***,0.8027034396991162,1.1037369283016954e-06,***,1.1491639945712764,7.366050304867679e-10,***,0.9004788328621314,1.267551831882998e-07,***,-0.47919009311135763,0.0016741771562476305,**
fung_total_rate,Fung: Discourse Markers (Total),40.567611892077714,1.1102230246251565e-16,0.4092263181955603,***,0.1261869372369936,0.0011526874435477542,0.12776589921049625,0.0011254920085054915,0.11399530037611001,0.001065159535765503,0.11515215555763784,0.0009265477811842757,-0.13065319916800128,0.4321052934983348,,1.0225816484511303,4.372564908059766e-09,***,1.0702574271955196,1.7594092797352206e-09,***,1.1189111780695558,7.817531521705108e-10,***,1.1811759317366266,3.334295152157618e-10,***,-0.11141558475957679,0.43459247059606615,
nonfluency_rate,Nonfluency Rate (LIWC),1.6972560738339324,0.1701570946418448,0.027374190702945653,,0.0011719431118519773,8.042464867712533e-05,0.001086072114282366,7.901070885026668e-05,0.0013168582333347148,8.156205121355429e-05,0.0013443846494363449,0.0001142788290075728,0.0929462791562543,0.6169305857402657,,-0.19327888263537898,0.3046715725562743,,-0.18242997804792804,0.3046715725562743,,-0.2844388291669404,0.29887651288269296,,-0.22727429339935482,0.3046715725562743,,-0.02739456036231038,0.847204691113475,
liwc_filler_rate,Filler Rate (LIWC),30.49723735125506,2.220446049250313e-15,0.3354529224369151,***,0.0036386131876367297,0.0002206412263751994,0.0040928170068575565,0.00023917223881175402,0.0016114365050258327,0.0001358156252965244,0.002600213954440588,0.0001575460431188532,-0.186149525783183,0.19420575010917981,,1.0938125063187314,1.4630708186549906e-09,***,0.5271468380069791,0.0006016768181279843,***,1.2470817588119412,6.612399116927406e-11,***,0.6903467705689177,2.3202769816031263e-05,***,-0.6532259252869367,4.22701405452218e-05,***
disfluency_rate,Disfluency Rate (Total),21.977149646260692,8.161804565531838e-12,0.27006716123244595,***,0.004810556299488706,0.0002149327608703142,0.005178889121139921,0.00023749192105976402,0.0029282947383605473,0.000141793577074481,0.003944598603876933,0.00020847494957254784,-0.15012411890030927,0.2936497594943379,,1.0012517648293626,1.4966715944129693e-08,***,0.40288852098943323,0.007677615399115242,**,1.122841362098403,1.4176109982592413e-09,***,0.5087815420938243,0.001119018168409559,**,-0.5562379592760489,0.0005276281629570039,***
like_rate,Discourse 'Like' Rate,36.69303318224967,1.1102230246251565e-16,0.3804382716992719,***,0.012305241515035292,0.0004731230823795227,0.013603686038454776,0.0005273802832722063,0.007859530901579427,0.000378095366716559,0.00892896887281339,0.0003053605449521068,-0.23438943341757285,0.10383180946062902,,0.9807216441770407,1.6744227634007583e-08,***,0.9456533304164313,3.0423740738058755e-08,***,1.144124815227333,8.347958452418244e-10,***,1.0055522690088823,1.342935315538084e-08,***,-0.333909216116923,0.02669120171918591,*
tom_rate,ToM Phrases Rate,17.207713143820047,1.2471489396759239e-09,0.22098023422811264,***,0.003145029572815515,0.00019775340587729036,0.0036763351083779323,0.00023534434100171473,0.001833816706420399,0.00012819224249647725,0.0026301669458242086,0.0001483044523641563,-0.21953397294739255,0.127016601612053,,0.8370111473068709,9.370701012118231e-07,***,0.29167402727285324,0.053384761485226515,,0.9083296816173139,3.119988064322101e-07,***,0.5213886405235044,0.0008524730807343635,***,-0.5768914293163334,0.00033152206120106955,***
politeness_rate,Politeness Rate,7.312098396707607,0.00013276298897080263,0.10124794470313929,***,0.0057685496186445275,0.00020461612980867146,0.006092537487091021,0.0002583034570845134,0.007002118936023056,0.0003061104027778227,0.007305240828307497,0.0002942147097956166,-0.14444458590932627,0.37451047294873174,,-0.45347888838001116,0.0047339628973311525,**,-0.5708454748602466,0.001140311964838614,**,-0.3217973449323316,0.04093336312067011,*,-0.4649901512327815,0.0047339628973311525,**,-0.1002431702762596,0.4817912310395058,
sentiment,Sentiment (VADER),1.5509425039697622,0.20386778126202965,0.025181999167672414,,0.9559224800000001,0.004070846951348947,0.9570366700000001,0.003966020380548074,0.9652287766666666,0.003428937882167655,0.9631695866666667,0.0022771973970248573,-0.026888652972427755,0.8499915937953816,,-0.23239725262456373,0.284445885818492,,-0.21177243038570512,0.284445885818492,,-0.20970248396266497,0.284445885818492,,-0.18811009035167015,0.284445885818492,,0.0665523291095913,0.7680208655303794,
quality,Conv. Quality (1–4),0.38580577533669214,0.7633848330068611,0.00611838748356844,,2.9377301587301594,0.019783501390241206,2.913047619047619,0.02498000197684891,2.9091746031746033,0.0163373005545834,2.9248571428571433,0.01917351816245104,0.103953737277577,0.8580184383842981,,0.1582191569657407,0.8580184383842981,,0.06541791671413452,0.8580184383842981,,0.01903575834364798,0.8934770415269572,,-0.051936723854227075,0.8580184383842981,,-0.08127786202478353,0.8580184383842981,
connectedness,Connectedness (1–4),3.35005416534124,0.020774454273723708,0.050514001407051146,*,3.0327142857142855,0.011258761212175372,3.061579365079365,0.017386478768730142,3.0040555555555555,0.012911215415176943,3.060904761904762,0.016323106216840157,-0.18097583706958392,0.24801528329939457,,0.22928909292530308,0.2227347917435428,,-0.1905823762806619,0.24801528329939457,,0.38867196508872615,0.029058943915513995,*,0.004102160638519509,0.9769771039961371,,-0.38073495656344564,0.029058943915513995,*
