experiment,subject,condition,social_type,word_count,question_count,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,tom_rate,politeness_rate,sentiment,quality,connectedness
LLM,s021,bot,nonsocial,148.26,1.82,0.011611625201781814,0.011315345455830725,0.014831683529151325,0.00019801980198019803,0.0041434898498718415,0.0006805412407501162,0.042780705079366016,0.04334275183668363,0.07607475466667694,0.06716706909334562,0.017587616515319274,0.11918709766070645,0.0008962762882800596,0.004175047681135531,0.005071323969415591,0.011004499532719474,0.004524398153217913,0.006487843222025499,0.9372400000000001,3.0,3.0
LLM,s021,bot,social,182.68,1.06,0.01352116942286249,0.017937327278613028,0.009942621075945488,0.0009993847977355897,0.004769009800630733,0.0014945853051401363,0.04866409768092747,0.027039406433625082,0.07876758404357173,0.07560307237753044,0.01036164289142627,0.10206205808322422,0.001351791911499581,0.0009122709942826815,0.0022640629057822624,0.004684578354604964,0.0019012029501464928,0.009780865181198339,0.972218,2.8,3.0
LLM,s021,hum,nonsocial,133.51063829787233,3.1702127659574466,0.009444663010882186,0.009912196430995735,0.009316749287765888,0.0002366624707050239,0.0036518003787780915,9.850275807722616e-05,0.03266057433720415,0.052609764472806776,0.07837782875784212,0.07433306081361651,0.0231680594488092,0.1334972953757827,0.00013726835964310226,0.007779777620870324,0.007917045980513427,0.015021595773129266,0.005629001787618262,0.0037143036003539844,0.9383255319148937,3.0,3.125
LLM,s021,hum,social,178.02,1.24,0.01337582074191541,0.015823909194017775,0.013451637442919565,0.00021780303030303032,0.007092249383205979,0.0008387689434201154,0.050800188735781876,0.040331855001571354,0.07914034330253443,0.07586828625782155,0.0161713155980701,0.11617101474162324,0.001277916572986335,0.0017774710689797207,0.003055387641966056,0.011490976000341662,0.0018945812453031988,0.006634021006027418,0.94572,2.6,3.0
LLM,s022,bot,nonsocial,172.40816326530611,1.7755102040816326,0.011887708472855451,0.011180981716065994,0.010780612817873734,0.00019436345966958212,0.005377128904283986,0.00019436345966958212,0.039615158830418336,0.03875535958008391,0.07917851131336709,0.07347038487740788,0.015248003496657586,0.11813374389955454,0.0009038805241768604,0.0022601096717255777,0.003163990195902438,0.010459717723284395,0.0036789243228362613,0.004404180858215479,0.9636163265306122,3.0,3.0
LLM,s022,bot,social,175.42857142857142,1.2448979591836735,0.013090031341093995,0.01436101709793852,0.011618050784518703,0.0005623549645369468,0.0058072799969092394,0.0005335225075384412,0.045972256692535844,0.027729205109856492,0.0808774133804936,0.07680310762890345,0.01003639815644815,0.10435080192480917,0.0017525532765122272,0.0013039756486996096,0.003056528925211837,0.004305081166107896,0.00266803982548446,0.007943068018925994,0.9104163265306122,3.0,3.111111111111111
LLM,s022,hum,nonsocial,162.85714285714286,3.306122448979592,0.011624952836948308,0.010831763777812212,0.013304930545899016,0.0,0.003702457943698738,0.0009867775030626795,0.040450882607420954,0.05416422929667549,0.07703120171088379,0.0755444470140007,0.022168019129951498,0.13008521160637884,0.0013800676387646226,0.004787041537431757,0.00616710917619638,0.0161088384068233,0.004929174012641514,0.006083355693474778,0.9786204081632652,3.0,3.0
LLM,s022,hum,social,183.4,1.2,0.011707985982002584,0.017004474149093035,0.01128289603018691,0.0010556041154021207,0.0062767334010688765,0.0012814115172126517,0.048609105194966175,0.03739208791793765,0.07917872678796092,0.07228918443220736,0.014279858428529952,0.11225369746752867,0.0011523542409355352,0.0014965462160298063,0.0026489004569653415,0.009969253316304676,0.0013355324864211982,0.007430223960886805,0.9872239999999999,3.0,3.0
LLM,s023,bot,nonsocial,158.26530612244898,2.2857142857142856,0.013320212660176935,0.007909303599976115,0.012999661040499693,0.0002722862287026936,0.00582509755354304,0.00025195263290501383,0.040578513715803496,0.04280322589970637,0.08026577820890751,0.07513092561120341,0.015254757313645043,0.12395415693750367,0.000705467351578634,0.002527635008154288,0.0032331023597329217,0.010035580706502465,0.002287673017546498,0.00647683377342965,0.9766224489795918,3.0,3.0
LLM,s023,bot,social,187.26,0.78,0.012488385328242091,0.01510867870422124,0.011035871593925195,0.0007565745768450919,0.00611248898380368,0.0012478443014647823,0.046749843488502085,0.020206420074213787,0.0862361447125548,0.08224108840694619,0.006883764140894245,0.10209009386771799,0.0006448013414508947,0.00029394951294313453,0.000938750854394029,0.0031550435891418453,0.0008797332782152517,0.00872788104611392,0.978696,2.4,3.1
