dimension,prompt_idx,human_mean,ai_mean,diff,t,p
10_animacy,26,0.18833917,0.16116963,0.02716954,4.007077584797502,6.372853368000981e-05
10_animacy,27,0.19873697,0.17107014,0.027666822,4.046948217070115,5.386600457845225e-05
10_animacy,28,0.19015011,0.16344742,0.026702687,3.991872511064021,6.792217069886697e-05
10_animacy,29,0.19396716,0.16619922,0.027767941,4.033459086554705,5.702832262893635e-05
10_animacy,30,0.19155459,0.16391143,0.027643159,4.005773628997624,6.407832631996986e-05
10_animacy,31,0.18908185,0.16189481,0.027187034,3.962073123417832,7.691030008413284e-05
10_animacy,32,0.19151825,0.16389936,0.027618885,3.9620584325888033,7.691499668994777e-05
10_animacy,33,0.18466327,0.15684369,0.027819574,3.993871105074192,6.735639933299874e-05
10_animacy,34,0.1893165,0.16182502,0.02749148,4.0172989360011835,6.104859512177107e-05
10_animacy,35,0.19639063,0.16810383,0.0282868,4.028167605088546,5.831624391828099e-05
10_animacy,36,0.19437991,0.166051,0.02832891,4.038118877763262,5.5916520908420915e-05
10_animacy,37,0.18681417,0.15938856,0.027425617,4.002344466600205,6.500691700724806e-05
10_animacy,38,0.19268598,0.16423418,0.0284518,4.05169184942398,5.2793998645083505e-05
10_animacy,39,0.1891796,0.16195363,0.027225971,3.9782243587227297,7.190774907694513e-05
11_formality,0,0.19500895,0.16575028,0.029258668,4.112833656488033,4.066733771246648e-05
11_formality,1,0.19894764,0.16946615,0.029481485,4.11533685249949,4.023216433455674e-05
11_formality,2,0.1926121,0.16390587,0.028706223,4.034635244266742,5.6745737042062446e-05
11_formality,3,0.19399826,0.1650871,0.028911158,4.065143316434545,4.986306920356536e-05
11_formality,4,0.20768555,0.17842713,0.029258415,4.121901310015437,3.911186067098676e-05
11_formality,5,0.18359022,0.1557297,0.027860522,3.985369873410675,6.979426840768413e-05
11_formality,6,0.1843617,0.15602571,0.028335989,4.014982454558181,6.164642824786244e-05
11_formality,7,0.18959342,0.16114044,0.028452978,4.024046907501769,5.933824419288307e-05
11_formality,8,0.18509997,0.15674065,0.028359324,4.029447975112525,5.8002103520628726e-05
11_formality,9,0.18262751,0.15401559,0.028611928,4.052793250564564,5.2548005056701374e-05
11_formality,10,0.19419543,0.16502558,0.029169858,4.074208424361501,4.797566970499093e-05
11_formality,11,0.19357678,0.16542788,0.028148904,4.06150541397185,5.0640127122411904e-05
11_formality,12,0.19542183,0.1663102,0.029111624,4.061210142156145,5.070369878282713e-05
11_formality,13,0.18565948,0.15704896,0.028610528,4.031198371149606,5.757523599745759e-05
11_formality,14,0.18504027,0.15679677,0.028243497,4.014625629291987,6.173900859784286e-05
11_formality,15,0.1928036,0.16443059,0.028373018,4.022216176268954,5.97977204556478e-05
11_formality,16,0.18749481,0.15915582,0.028338999,4.023030143216569,5.9593016593441014e-05
11_formality,17,0.18826084,0.1597835,0.028477341,4.0495181652544385,5.328269027418334e-05
11_formality,18,0.18841809,0.15930133,0.029116765,4.066824356590362,4.9507831485461415e-05
11_formality,19,0.18373373,0.15495883,0.028774902,4.0723631346755695,4.8354286430119015e-05
11_formality,20,0.18968454,0.16145818,0.02822636,4.050806461725978,5.299253785100578e-05
11_formality,21,0.18480554,0.15691178,0.027893767,3.993728620793843,6.739658625193521e-05
11_formality,22,0.18093295,0.15265451,0.02827844,4.014509557839697,6.176915238218146e-05
11_formality,23,0.18250686,0.15483522,0.027671635,3.98068051195422,7.117453329330175e-05
11_formality,24,0.18076162,0.15349509,0.027266532,4.01671723129875,6.119820169822696e-05
11_formality,25,0.18451937,0.15586892,0.028650448,4.066051760829466,4.967079738825876e-05
11_formality,26,0.18346561,0.15520515,0.02826047,4.011029796260479,6.267934972917849e-05
11_formality,27,0.18542127,0.15773556,0.027685717,4.026705316531787,5.8676990616565535e-05
11_formality,28,0.18898098,0.16093774,0.02804324,4.000243467960398,6.558213289386771e-05
11_formality,29,0.1877956,0.15907691,0.02871868,4.020920385432983,6.012497312385552e-05
11_formality,30,0.18984094,0.1609062,0.028934747,4.025555811175555,5.896205737359243e-05
11_formality,31,0.19647586,0.16708629,0.029389575,4.13041605215769,3.770281319683778e-05
11_formality,32,0.18605597,0.15798217,0.028073803,3.9937337883518595,6.73951283734891e-05
11_formality,33,0.20055932,0.17139344,0.029165879,4.079353218144234,4.6934858043263565e-05
11_formality,34,0.18254608,0.1539643,0.028581783,4.046669959332872,5.392952420158649e-05
11_formality,35,0.19033147,0.16168503,0.02864644,4.045655703948027,5.4161656348522656e-05
11_formality,36,0.19514273,0.16642557,0.02871716,4.04681867722476,5.3895566613751576e-05
11_formality,37,0.1939202,0.1651268,0.028793395,4.04434425232889,5.4463212328985655e-05
11_formality,38,0.18762466,0.15836832,0.029256344,4.087446317490673,4.53408424793071e-05
11_formality,39,0.19087426,0.16261272,0.028261542,4.038062737394972,5.59297925688738e-05
12_expertise,0,0.1983772,0.16906019,0.029317021,4.0695549587298565,4.893591241221035e-05
12_expertise,1,0.18657908,0.15814222,0.028436854,4.033899149049202,5.692243667172757e-05
12_expertise,2,0.18171783,0.15366085,0.02805698,3.989474927220542,6.860682763390035e-05
12_expertise,3,0.19245529,0.16345386,0.02900143,4.040451709285348,5.5367668359022946e-05
12_expertise,4,0.19122681,0.16257341,0.028653398,4.048269002359447,5.356546700871576e-05
12_expertise,5,0.18634616,0.15817554,0.028170615,4.0186576722402005,6.070049547347342e-05
12_expertise,6,0.18887088,0.16016844,0.028702438,4.007447464154281,6.362964149001547e-05
12_expertise,7,0.18621328,0.15758054,0.028632745,4.023813871485919,5.9396545093697764e-05
12_expertise,8,0.19382495,0.16513795,0.028687,4.039042634243497,5.569857185841839e-05
12_expertise,9,0.18101569,0.15261869,0.028396994,4.016707288089483,6.120076197422956e-05
12_expertise,10,0.18374427,0.1555845,0.028159767,3.9910318984842608,6.816147715014536e-05
12_expertise,11,0.17695875,0.14869261,0.028266147,4.03730397245552,5.610945882128789e-05
12_expertise,12,0.18222763,0.15459576,0.027631864,3.9780256154916795,7.196738995112091e-05
12_expertise,13,0.18950075,0.16054852,0.028952226,4.03081460463343,5.766856916260153e-05
12_expertise,14,0.19691995,0.16753477,0.02938518,4.0674878656137885,4.936828054003693e-05
12_expertise,15,0.18497108,0.15661764,0.028353438,4.017266605278833,6.105690104290785e-05
12_expertise,16,0.18691726,0.15849233,0.028424934,4.045083469822011,5.429304101050461e-05
12_expertise,17,0.18448927,0.15673076,0.027758509,3.9943945575058235,6.720895713995419e-05
12_expertise,18,0.19035041,0.16136253,0.028987885,4.04867315233222,5.347382301746926e-05
12_expertise,19,0.18260153,0.15446869,0.028132841,3.955541464140489,7.902542589201372e-05
12_expertise,20,0.18634205,0.15795758,0.028384462,4.0092721587924,6.314390879940964e-05
12_expertise,21,0.18355186,0.1547503,0.02880156,3.9976232776322167,6.630625021912236e-05
