experiment,subject,condition,social_type,um_rate,uh_rate,er_rate,ah_rate,well_rate,so_rate,you_know_rate,i_mean_rate,like_rate,basically_rate,actually_rate,right_rate,okay_rate,filled_pauses_rate,discourse_connectives_rate,interactional_phrases_rate,quotative_hedge_rate,pragmatic_stance_rate,filler_composite_rate
Exp1_Human,sub-013,hum,social,0.0026881720430107525,0.001792114695340502,0.0,0.0,0.0013662080493763663,0.009717819081678567,0.0006038647342995169,0.0,0.03344044298068865,0.003103400944487121,0.001969984952878752,0.0017398122963071872,0.0,0.004480286738351254,0.011084027131054934,0.0006038647342995169,0.03344044298068865,0.00681319819367306,0.05642181977806741
Exp1_Human,sub-014,bot,nonsocial,0.0,0.0,0.0,0.0,0.0018621084797555386,0.010526128796071935,0.0,0.0,0.017285802998069092,0.0,0.0018029556650246306,0.0,0.0,0.0,0.012388237275827472,0.0,0.017285802998069092,0.0018029556650246306,0.03147699593892119
Exp1_Human,sub-014,bot,social,0.0029411764705882357,0.0,0.0,0.0,0.0,0.007652962901413751,0.0016470588235294116,0.0,0.011436436432484964,0.0,0.0,0.0,0.000980392156862745,0.0029411764705882357,0.007652962901413751,0.0016470588235294116,0.011436436432484964,0.000980392156862745,0.02465802678487911
Exp1_Human,sub-014,hum,nonsocial,0.0026483050847457626,0.0,0.0,0.0,0.0,0.0070165420563463934,0.0012737086359967714,0.0,0.022207054499856334,0.0,0.0008445945945945946,0.0,0.0,0.0026483050847457626,0.0070165420563463934,0.0012737086359967714,0.022207054499856334,0.0008445945945945946,0.03399020487153986
Exp1_Human,sub-014,hum,social,0.0020833333333333333,0.0,0.0,0.0,0.0034794715884631944,0.006248626485930036,0.0,0.0,0.012464116620348695,0.0,0.00043402777777777775,0.0006868131868131869,0.0004496402877697842,0.0020833333333333333,0.00972809807439323,0.0,0.012464116620348695,0.001570481252360749,0.025846029280436007
Exp1_Human,sub-015,bot,nonsocial,0.0,0.0,0.0,0.0,0.001594896331738437,0.0036631508703487063,0.0008488964346349745,0.004956625928004975,0.027720656667915473,0.0008488964346349745,0.0033205258186540278,0.0,0.001594896331738437,0.0,0.005258047202087143,0.00580552236263995,0.027720656667915473,0.00576431858502744,0.044548544817670004
Exp1_Human,sub-015,bot,social,0.0010582010582010583,0.0,0.0,0.0,0.0008169934640522876,0.019662588668640166,0.0017551133222775013,0.00682017607687784,0.015494116598762854,0.0,0.0005291005291005291,0.0,0.0005291005291005291,0.0010582010582010583,0.020479582132692454,0.00857528939915534,0.015494116598762854,0.0010582010582010583,0.046665390247012765
Exp1_Human,sub-015,hum,nonsocial,0.0015432098765432098,0.0,0.0,0.0,0.0006105006105006105,0.01184974479190035,0.0,0.0042508819101548965,0.025360649656708017,0.0,0.0018994739918176506,0.0,0.0024392672242134605,0.0015432098765432098,0.01246024540240096,0.0042508819101548965,0.025360649656708017,0.0043387412160311115,0.047953728061838195
Exp1_Human,sub-015,hum,social,0.0018796992481203006,0.0,0.0,0.0,0.000835421888053467,0.012913029051820261,0.0,0.007524626780158848,0.017308149785606866,0.0,0.002256461980467115,0.0008920606601248885,0.0005847953216374269,0.0018796992481203006,0.013748450939873728,0.007524626780158848,0.017308149785606866,0.0037333179622294306,0.04419424471598917
Exp1_Human,sub-016,bot,nonsocial,0.0009090909090909091,0.0,0.0,0.0,0.007263270606178525,0.00895408903349228,0.0,0.0004887585532746823,0.02832477154679117,0.0,0.0,0.0007575757575757576,0.0018939393939393938,0.0009090909090909091,0.016217359639670807,0.0004887585532746823,0.02832477154679117,0.0026515151515151517,0.048591495800342714
