experiment,subject,condition,topic,social_type,social,word_count,question_count,tom_count,polite_pos,polite_neg,impolite,politeness_score,nonfluency_count,liwc_filler_count,disfluency_count,like_count,fung_interpersonal_count,fung_referential_count,fung_structural_count,fung_cognitive_count,fung_total_count,demir_modal_count,demir_verb_count,demir_adverb_count,demir_adjective_count,demir_quantifier_count,demir_noun_count,demir_total_count,sentiment,sentiment_pos,sentiment_neg,sentiment_neu,quality,connectedness,tom_rate,politeness_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate
LLM,s003,bot,fashion,nonsocial,0,848,10,4,2,0,0,2,0,3,3,0,19,59,59,5,75,9,6,11,1,2,0,29,0.9839399999999999,0.1972,0.009600000000000001,0.7928,4.0,4.0,0.0047169811320754715,0.0023584905660377358,0.0,0.003537735849056604,0.003537735849056604,0.0,0.02240566037735849,0.0695754716981132,0.0695754716981132,0.00589622641509434,0.08844339622641509,0.01061320754716981,0.007075471698113208,0.012971698113207548,0.0011792452830188679,0.0023584905660377358,0.0,0.03419811320754717
LLM,s003,bot,friendship,social,1,1076,5,4,6,0,0,6,2,0,2,0,13,83,73,7,95,25,23,9,0,1,0,58,0.9965400000000001,0.3468,0.0264,0.627,3.0,3.0,0.0037174721189591076,0.0055762081784386614,0.0018587360594795538,0.0,0.0018587360594795538,0.0,0.012081784386617101,0.07713754646840149,0.06784386617100371,0.006505576208178439,0.08828996282527882,0.023234200743494422,0.02137546468401487,0.008364312267657992,0.0,0.0009293680297397769,0.0,0.05390334572490706
LLM,s003,bot,hobbies,social,1,765,4,1,9,0,0,9,0,0,0,1,20,64,54,3,78,6,6,4,0,10,0,26,0.9654999999999999,0.2552,0.0016,0.7432000000000001,3.0,3.0,0.00130718954248366,0.011764705882352941,0.0,0.0,0.0,0.00130718954248366,0.026143790849673203,0.08366013071895424,0.07058823529411765,0.00392156862745098,0.10196078431372549,0.00784313725490196,0.00784313725490196,0.00522875816993464,0.0,0.013071895424836602,0.0,0.03398692810457516
LLM,s003,bot,love,social,1,497,6,1,5,0,0,5,1,0,1,5,18,30,33,8,43,15,9,5,0,2,0,31,0.98626,0.3044,0.01,0.6854,3.0,3.0,0.002012072434607646,0.01006036217303823,0.002012072434607646,0.0,0.002012072434607646,0.01006036217303823,0.03621730382293763,0.060362173038229376,0.06639839034205232,0.01609657947686117,0.08651911468812877,0.030181086519114688,0.018108651911468814,0.01006036217303823,0.0,0.004024144869215292,0.0,0.06237424547283702
LLM,s003,bot,mentorship,social,1,1217,0,0,12,0,0,12,0,0,0,3,8,91,96,5,99,28,24,5,4,4,11,76,0.9971399999999999,0.2908,0.0058,0.7034,3.0,3.0,0.0,0.009860312243221035,0.0,0.0,0.0,0.0024650780608052587,0.00657354149548069,0.07477403451109285,0.07888249794576828,0.004108463434675432,0.08134757600657354,0.023007395234182416,0.01972062448644207,0.004108463434675432,0.003286770747740345,0.003286770747740345,0.009038619556285949,0.062448644207066556
LLM,s003,bot,movies,nonsocial,0,816,11,2,0,0,0,0,1,7,8,26,78,71,64,32,153,3,5,5,0,5,1,19,0.98788,0.27640000000000003,0.046599999999999996,0.6769999999999999,3.0,3.0,0.0024509803921568627,0.0,0.0012254901960784314,0.00857843137254902,0.00980392156862745,0.031862745098039214,0.09558823529411764,0.08700980392156862,0.0784313725490196,0.0392156862745098,0.1875,0.003676470588235294,0.006127450980392157,0.006127450980392157,0.0,0.006127450980392157,0.0012254901960784314,0.023284313725490197
LLM,s003,bot,nature,nonsocial,0,845,2,0,2,0,0,2,0,0,0,3,23,58,55,4,75,5,5,7,0,6,0,23,0.97334,0.217,0.0106,0.7724,3.0,3.0,0.0,0.002366863905325444,0.0,0.0,0.0,0.0035502958579881655,0.027218934911242602,0.06863905325443787,0.0650887573964497,0.004733727810650888,0.08875739644970414,0.005917159763313609,0.005917159763313609,0.008284023668639054,0.0,0.007100591715976331,0.0,0.027218934911242602
LLM,s003,bot,networks,social,1,831,0,0,9,0,0,9,2,0,2,0,10,61,48,4,68,17,29,9,0,0,0,55,0.99398,0.346,0.0376,0.6162,3.0,3.0,0.0,0.010830324909747292,0.0024067388688327317,0.0,0.0024067388688327317,0.0,0.012033694344163659,0.07340553549939831,0.05776173285198556,0.0048134777376654635,0.08182912154031288,0.02045728038507822,0.03489771359807461,0.010830324909747292,0.0,0.0,0.0,0.06618531889290012
LLM,s003,bot,podcasts,nonsocial,0,619,9,0,9,0,0,9,0,0,0,3,27,52,46,3,70,4,3,9,0,1,0,17,0.9882199999999999,0.2928,0.03,0.6772,3.0,3.0,0.0,0.014539579967689823,0.0,0.0,0.0,0.004846526655896607,0.04361873990306947,0.0840064620355412,0.07431340872374798,0.004846526655896607,0.11308562197092084,0.006462035541195477,0.004846526655896607,0.014539579967689823,0.0,0.0016155088852988692,0.0,0.027463651050080775
LLM,s003,bot,social_media,social,1,1242,0,0,6,0,0,6,3,0,3,6,40,91,80,18,120,17,34,13,1,1,1,67,0.98364,0.1794,0.0416,0.7788,3.0,3.0,0.0,0.004830917874396135,0.0024154589371980675,0.0,0.0024154589371980675,0.004830917874396135,0.0322061191626409,0.07326892109500806,0.0644122383252818,0.014492753623188406,0.0966183574879227,0.013687600644122383,0.027375201288244767,0.010466988727858293,0.0008051529790660225,0.0008051529790660225,0.0008051529790660225,0.05394524959742351
